  241 | 02:00000100 | E | Low water flow : fiber con.                                  |  5.04.17    9:52:33 |  5.04.17   13:14:11
  242 | 02:80000000 | E | E-Stop external                                              |  5.04.17    9:52:33 | laser off          
  243 | 01:00002000 | E | Laser error                                                  |  5.04.17    9:52:33 | laser off          
  244 | 04:00000008 | E | Beam switch channel 2: Optical interlock                     |  5.04.17    9:52:33 | laser off          
  245 | 04:00000010 | E | Beam switch channel 2: Error                                 |  5.04.17    9:52:33 | laser off          
  246 | 04:00000020 | E | Beam switch channel 2: Low water flow : process fiber output |  5.04.17    9:52:33 |  5.04.17   13:14:12
  247 | 04:00000040 | E | Beam switch channel 2: Low water flow : process fiber input  |  5.04.17    9:52:33 |  5.04.17   13:14:11
  248 | 02:00008000 | E | Low water flow : laser                                       |  5.04.17    9:53:14 | laser off          
  249 | 04:00000020 | E | Beam switch channel 2: Low water flow : process fiber output |  5.04.17   13:14:11 |  5.04.17   13:14:12
  250 | 65:00000002 | W | Low water flow PF input warning: channel #2                  |  5.04.17   13:55:09 |  5.04.17   13:55:09
  251 | 04:00000040 | E | Beam switch channel 2: Low water flow : process fiber input  |  5.04.17   13:55:09 | laser off          
  252 | 22:00080000 | W | FF Water flow warning                                        |  5.04.17   13:55:09 |  5.04.17   13:55:09
  253 | 02:00000100 | E | Low water flow : fiber con.                                  |  5.04.17   13:55:09 | laser off          
  254 | 65:00000200 | W | Low water flow PF output warning: channel #2                 |  5.04.17   13:55:09 |  5.04.17   13:55:09
  255 | 04:00000020 | E | Beam switch channel 2: Low water flow : process fiber output |  5.04.17   13:55:09 | laser off          
  256 | 22:00000004 | W | Module overheat                                              |  5.04.17   16:32:07 | laser off          
  257 | 02:00000040 | E | E-Stop                                                       |  6.04.17    7:26:27 | laser off          
  258 | 02:00000100 | E | Low water flow : fiber con.                                  |  6.04.17    7:26:27 |  6.04.17    8:39:23
