Radiated Heat Times Area (W),Thermal Conductivity of Area (W.mK),Thermal Diffusivity of Area (m2/s),Temperature of Area (K),Best Circle Radius (Pixels),Best Circle Accumulator Score,Best Circle X Position (Pixels),Best Circle Y Position (Pixels),Best Circle Distance from Centre (Pixels)
36.84261560320001,0.21286767611497842,5.473374481318414e-06,307.3035546975077,69.0,0.3100000000000002,66.0,62.0,2.8284271247461903
36.351711641600005,0.21285633106363294,5.473369268535332e-06,307.16274087975575,69.0,0.2925000000000002,63.0,64.0,1.0
38.08047267840001,0.21289614506904103,5.473389275751054e-06,307.65777210624054,69.0,0.3125000000000002,62.0,62.0,2.8284271247461903
36.52626677760001,0.21286036871640915,5.473371080208938e-06,307.21283350156466,69.0,0.3075000000000002,64.0,62.0,2.0
38.61364736000001,0.21290834654752383,5.473396393206658e-06,307.80996576983296,69.0,0.3125000000000002,64.0,62.0,2.0
36.47008931840001,0.21285906970270702,5.473370492130343e-06,307.1967147581664,69.0,0.32500000000000023,68.0,62.0,4.47213595499958
38.14219448320001,0.21289755941319136,5.473390076425182e-06,307.6754020361294,69.0,0.3775000000000003,62.0,58.0,6.324555320336759
37.165177241600006,0.21287511365211254,5.4733781068926465e-06,307.3959749225819,69.0,0.32500000000000023,68.0,62.0,4.47213595499958
38.88475013120001,0.21291453666147397,5.47340018779459e-06,307.88726502459247,69.0,0.3075000000000002,64.0,62.0,2.0
38.667517952000004,0.2129095773276144,5.473397137748357e-06,307.82533047290065,69.0,0.2925000000000002,72.0,64.0,8.0
37.0931990528,0.21287345516747797,5.473377283980225e-06,307.3753589871443,69.0,0.32750000000000024,68.0,62.0,4.47213595499958
38.51423580160001,0.21290607431912,5.473395031543137e-06,307.78160605607354,69.0,0.3150000000000002,64.0,62.0,2.0
36.39164272640001,0.21285725506364644,5.4733696789147264e-06,307.1742021873793,69.0,0.3100000000000002,66.0,62.0,2.8284271247461903
36.58767400960001,0.21286178819051768,5.473371728502511e-06,307.23044989800525,69.0,0.2775000000000002,72.0,64.0,8.0
36.49076592640001,0.21285954786388886,5.473370708022495e-06,307.2026476985269,69.0,0.2850000000000002,68.0,63.0,4.123105625617661
38.758134579200004,0.21291164680628416,5.473398400745147e-06,307.851170509047,69.0,0.3100000000000002,66.0,62.0,2.8284271247461903
37.29432903680001,0.21287808782083273,5.473379603546668e-06,307.4329560815616,69.0,0.32000000000000023,66.0,64.0,2.0
38.607742566400006,0.21290821161827178,5.473396311882008e-06,307.8082814939617,69.0,0.32000000000000023,66.0,62.0,2.8284271247461903
38.740741324800005,0.21291124966512837,5.473398157289917e-06,307.8462111918496,69.0,0.3150000000000002,64.0,62.0,2.0
38.632698675200004,0.21290878185488366,5.473396655977634e-06,307.8153997544283,69.0,0.3050000000000002,68.0,64.0,4.0
36.590603468800005,0.21286185589490228,5.473371759572568e-06,307.23129022027314,69.0,0.3175000000000002,68.0,63.0,4.123105625617661
36.6697775104,0.21286368530828848,5.473372604235305e-06,307.2539988694652,69.0,0.36500000000000027,63.0,58.0,6.082762530298219
36.51864494080001,0.2128601924977284,5.473371000141717e-06,307.2106467512828,69.0,0.36000000000000026,62.0,58.0,6.324555320336759
36.943704883200006,0.21287000845475432,5.4733756003519324e-06,307.3325277266866,69.0,0.2850000000000002,68.0,66.0,4.47213595499958
38.59675217920001,0.21290796046726226,5.473396160665135e-06,307.8051465361697,69.0,0.3175000000000002,64.0,62.0,2.0
36.54343720960001,0.2128607656731917,5.473371260906349e-06,307.2177596294815,69.0,0.3100000000000002,66.0,62.0,2.8284271247461903
38.71680757760001,0.2129107031213171,5.4733978230881586e-06,307.8393866001562,69.0,0.32000000000000023,64.0,62.0,2.0
36.48790855680001,0.21285948178850958,5.473370678149132e-06,307.2018278261285,69.0,0.32750000000000024,68.0,62.0,4.47213595499958
38.20178636800001,0.21289892448636252,5.473390855225193e-06,307.6924207104952,69.0,0.3125000000000002,64.0,62.0,2.0
36.40160419840001,0.2128574855384204,5.473369781665308e-06,307.177061200899,69.0,0.3075000000000002,68.0,64.0,4.0
38.23445606400001,0.21289967265863186,5.473391284585467e-06,307.70174955635866,69.0,0.32250000000000023,68.0,63.0,4.123105625617661
38.10381004800001,0.2128966798982435,5.47338957777803e-06,307.66443844051787,69.0,0.33250000000000024,68.0,63.0,4.123105625617661
37.79714088960001,0.21288964628673845,5.473385677809804e-06,307.57680361436525,69.0,0.2975000000000002,68.0,63.0,4.123105625617661
36.95985950720001,0.2128703810526757,5.473375780631961e-06,307.3371570171211,69.0,0.3125000000000002,68.0,62.0,4.47213595499958
38.964029030400006,0.21291634506954146,5.473401320011343e-06,307.9098587371929,69.0,0.33000000000000024,68.0,62.0,4.47213595499958
36.596121600000004,0.2128619834245154,5.473371818133643e-06,307.23287309047157,69.0,0.3850000000000003,62.0,58.0,6.324555320336759
36.51932651520001,0.21286020825619847,5.4733710072980586e-06,307.2108423009306,69.0,0.2775000000000002,72.0,64.0,8.0
